ID,Species,Site,Femur_mm,ClutchSize,EggMass,NOvarioles,NFunctOvarioles,PropFunctOvarioles,Elevation_m,logEggs,ClutchMass_g
A13 6-13,M. boulderensis,A1,,11,0.00646,,,,2195,2.397895273,0.071099996
A1 6-13,M. boulderensis,A1,13.77,13,0.00755,,,,2195,2.564949357,0.098100002
A24 6-13,M. boulderensis,A1,13.28,13,0.00828,,,,2195,2.564949357,0.107599999
A4 6-13,M. boulderensis,A1,13.87,14,0.00681,,,,2195,2.63905733,0.095300002
A16 6-13,M. boulderensis,A1,13.09,14,0.00679,,,,2195,2.63905733,0.094999996
A11 6/21,M. boulderensis,A1,13.42,14,0.00681,,,,2195,2.63905733,0.095400004
A12 6/21,M. boulderensis,A1,13.09,15,0.00672,,,,2195,2.708050201,0.1008
A1 6/18,M. boulderensis,A1,13.84,15,0.00778,,,,2195,2.708050201,0.1167
A1 7-2,M. boulderensis,A1,13.45,,,,,,2195,,
B3 6-11,M. boulderensis,B1,12.35,15,0.00568,18,18,1,2591,2.708050201,0.0852
B8 6-11,M. boulderensis,B1,12.55,16,0.00555,16,16,1,2591,2.772588722,0.08885
B12 6-11,M. boulderensis,B1,12.81,,,14,14,1,2591,,
